rok;miesiac;pow;dzielnica;lpokoi;pietro;rokBudowy;Cena;CenaM2;stan
2008;1;20;Srodmiescie;1;7;1970;210000;10500;do remontu
2008;1;25;Pruszkow;1;1;1965;175000;7000;do remontu
2008;1;26;Bielany;1;6;1964;218000;8384;do remontu
2008;1;27;Wola;1;1;1962;230000;8518;dobry
2008;1;28;Mokotow;1;1;1950;245000;8750;do remontu
2008;1;28;Mokotow;2;4;1968;245000;8750;dobry
2008;1;30;Srodmiescie;1;1;1952;320000;10666;dobry
2008;1;32;Mokotow;2;3;2007;392000;12250;do wykonczenia
2008;1;32;Srodmiescie;1;7;1961;290000;9062;bardzo dobry
2008;1;34;Jozefoslaw;1;2;2003;325000;9558;bardzo dobry
2008;1;35;Bemowo;2;3;1978;260000;7428;dobry
2008;1;36;Wola;2;6;1965;250000;6944;dobry
2008;1;36;Wola;2;5;1968;360000;10000;dobry
2008;1;36;Praga Poludnie;2;5;1965;300000;8333;dobry
2008;1;37;Bialoleka;1;7;2005;250000;6756;dobry
2008;1;37;Mokotow;2;7;1972;300000;8108;dobry
2008;1;37;Zoliborz;2;1;1969;265000;7162;dobry
2008;1;37;Zoliborz;2;8;1972;279000;7540;dobry
2008;1;38;Praga Poludnie;2;1;1971;250000;6578;dobry
2008;1;40;Mokotow;2;1;1925;478000;11950;bardzo dobry
2008;1;40;Bielany;2;3;1970;320000;8000;dobry
2009;3;55;Mokotow;3;3;1974;395000;7181;do remontu
2008;1;41;Mokotow;2;3;1961;310000;7560;dobry
2008;1;42;Mokotow;2;1;1970;320000;7619;dobry
2008;1;44;Srodmiescie;2;3;1966;440000;10000;bardzo dobry
2008;1;44;Srodmiescie;2;3;1966;485200;10903;bardzo dobry
2008;1;47;Ursynow;2;5;1978;360000;7659;dobry
2008;1;48;Wola;2;1;2007;399000;8312;do wykonczenia
2008;1;50;Wola;2;3;1952;466000;9227;bardzo dobry
2008;1;53;Mokotow;2;10;2005;503000;9490;dobry
2008;1;54;Bielany;3;5;1976;392000;7259;dobry
2008;1;56;Zoliborz;3;3;1938;640000;11428;bardzo dobry
2008;1;56;Zoliborz;2;4;1936;620000;11071;bardzo dobry
2008;1;57;Mokotow;3;2;1978;373000;6543;do remontu
2008;1;73;Wawer;3;2;2003;665000;9109;bardzo dobry
2008;1;75;Praga Poludnie;3;3;2001;670000;8933;bardzo dobry
2008;9;46;Mokotow;2;7;1980;380000;8261;dobry
2008;1;82;Mokotow;3;1;2005;1100000;13414;bardzo dobry
2008;1;83;Mokotow;3;2;1997;715000;8614;bardzo dobry
2008;1;85;Wilanow;3;2;2006;700000;8235;bardzo dobry
2008;1;91;Mokotow;3;1;2006;939000;10318;bardzo dobry
2008;1;130;Srodmiescie;4;2;2006;1365000;10500;bardzo dobry
2008;2;20;Srodmiescie;1;7;1970;210000;10500;do remontu
2008;2;23;Srodmiescie;1;3;1964;240000;10435;dobry
2008;2;26;Bielany;1;6;1964;218000;8385;do remontu
2008;2;27;Srodmiescie;1;2;1964;223000;8259;do remontu
2008;2;27;Wola;1;2;1979;245000;9074;dobry
2008;2;28;Ochota;1;3;1963;208000;7429;do remontu
2008;2;29;Ochota;1;10;1972;210000;7241;dobry
2008;2;29;Praga Poludnie;1;2;1936;120000;4032;do remontu
2007;10;72;Mokotow;4;1;1976;630000;8666;dobry
2008;2;35;Bemowo;2;3;1978;260000;7429;dobry
2008;2;35;Bialoleka;1;4;2001;220000;6286;dobry
2008;2;35;Bemowo;2;1;2005;380000;10734;dobry
2008;2;36;Praga Poludnie;1;4;1965;252000;7000;dobry
2008;2;37;Mokotow;2;7;1972;300000;8108;dobry
2008;2;37;Bialoleka;1;7;2005;250000;6757;dobry
2008;2;37;Zoliborz;2;1;1969;302200;8168;dobry
2008;2;38;Praga Poludnie;2;1;1971;250000;6579;dobry
2008;2;38;Praga Poludnie;2;2;1970;248000;6526;do remontu
2008;2;38;Ochota;1;5;2001;399000;10445;bardzo dobry
2008;2;42;Mokotow;2;1;1970;320000;7619;do remontu
2008;2;46;Mokotow;2;1;2008;465000;10065;bardzo dobry
2008;2;48;Mokotow;2;4;2007;495000;10313;do wykonczenia
2008;2;50;Bemowo;2;3;1982;364500;7290;dobry
2008;2;57;Mokotow;3;2;1976;460000;8042;dobry
2008;2;54;Bielany;3;5;1976;392000;7259;dobry
2008;2;55;Mokotow;2;1;2008;560000;10182;do wykonczenia
2008;2;56;Mokotow;2;2;2007;735000;13125;dobry
2008;2;56;Srodmiescie;2;2;2005;770000;13750;dobry
2008;2;56;Mokotow;2;3;2007;565000;10089;do wykonczenia
2008;2;57;Mokotow;3;2;1978;373000;6544;do remontu
2008;2;57;Ursynow;2;2;2001;550000;9649;bardzo dobry
2008;2;57;Bielany;3;2;1960;390000;6842;do remontu
2008;9;35,4;Mokotow;2;10;1973;360000;10169;bardzo dobry
2007;12;21;Mokotow;1;8;1968;220000;10476;bardzo dobry
2008;2;63;Mokotow;3;3;2007;606000;9619;do wykonczenia
2009;8;44;Mokotow;2;4;1963;360000;8090;dobry
2008;2;73;Mokotow;3;3;2007;690000;9452;do wykonczenia
2008;2;73;Mokotow;3;4;2007;690000;9452;do wykonczenia
2008;2;74;Mokotow;3;2;2007;637000;8608;do wykonczenia
2008;2;81;Jozefoslaw;3;1;2007;635000;7840;do wykonczenia
2008;2;82;Mokotow;2;1;1935;930000;11341;bardzo dobry
2008;2;82;Ochota;3;2;2001;1050000;12712;bardzo dobry
