"";"RecordNo";"Województwo";"RQ2";"Q4";"Q5";"Q6";"Q2";"company";"recomendation";"Age";"recomendations"
"1";1135;"dolnośląskie";"100-250";1969;"Średnie ogólne";"właściciel";140;"Acme";3;"51<";"detractors"
"2";1136;"dolnośląskie";"100-250";1987;"Średnie technicznezne";"właściciel";145;"Acme";4;"31-35";"detractors"
"3";1137;"dolnośląskie";"100-250";1977;"Średnie technicznezne";"agronom ekspert";200;"Acme";5;"41-45";"detractors"
"4";1141;"dolnośląskie";">25";1989;"Średnie ogólne";"agronom ekspert";8;"Acme";9;"31-35";"promoters"
"5";1143;"dolnośląskie";"100-250";1992;"Średnie ogólne";"główny agronom";150;"Acme";6;"26-30";"detractors"
"6";1145;"dolnośląskie";"51-100";1982;"Wyższe";"właściciel";100;"Acme";10;"36-40";"promoters"
"7";1150;"dolnośląskie";"25-50";1978;"Średnie technicznezne";"dyrektor";30,01;"Acme";10;"41-45";"promoters"
"8";1151;"dolnośląskie";"100-250";1981;"Średnie ogólne";"dyrektor";250;"Acme";6;"36-40";"detractors"
"9";1154;"dolnośląskie";"100-250";1965;"Średnie technicznezne";"agronom ekspert";180;"Acme";9;"51<";"promoters"
"10";1159;"dolnośląskie";"250+";1977;"Średnie ogólne";"główny agronom";350;"Acme";9;"41-45";"promoters"
"11";1160;"dolnośląskie";"100-250";1988;"Wyższe";"właściciel";117;"Acme";4;"31-35";"detractors"
"12";1167;"dolnośląskie";">25";1992;"Średnie technicznezne";"główny agronom";25;"Acme";5;"26-30";"detractors"
"13";1168;"dolnośląskie";">25";1973;"Średnie ogólne";"agronom ekspert";20;"Acme";1;"46-50";"detractors"
"14";1169;"dolnośląskie";"250+";1964;"Średnie technicznezne";"właściciel";340;"Acme";9;"51<";"promoters"
"15";1173;"kujawsko-pomorskie";">25";1974;"Średnie technicznezne";"agronom ekspert";23;"Acme";5;"46-50";"detractors"
"16";1174;"kujawsko-pomorskie";"250+";1992;"Średnie ogólne";"główny agronom";455;"Acme";2;"26-30";"detractors"
"17";1176;"kujawsko-pomorskie";"25-50";1969;"Średnie technicznezne";"główny agronom";30;"Acme";5;"51<";"detractors"
"18";1177;"kujawsko-pomorskie";">25";1960;"Średnie ogólne";"właściciel";15;"Acme";9;"51<";"promoters"
"19";1178;"kujawsko-pomorskie";"25-50";1990;"Średnie ogólne";"właściciel";33;"Acme";9;"31-35";"promoters"
"20";1183;"kujawsko-pomorskie";">25";1973;"Wyższe";"właściciel";18;"Acme";9;"46-50";"promoters"
"21";1187;"kujawsko-pomorskie";"250+";1972;"Średnie technicznezne";"właściciel";500;"Acme";5;"46-50";"detractors"
"22";1191;"kujawsko-pomorskie";">25";1956;"Wyższe";"dyrektor";7;"Acme";3;"51<";"detractors"
"23";1200;"kujawsko-pomorskie";"25-50";1975;"Średnie technicznezne";"właściciel";34;"Acme";10;"46-50";"promoters"
"24";1202;"kujawsko-pomorskie";"250+";1977;"Średnie ogólne";"główny agronom";636,5;"Acme";1;"41-45";"detractors"
"25";1203;"kujawsko-pomorskie";"100-250";1963;"Średnie technicznezne";"agronom ekspert";180,01;"Acme";9;"51<";"promoters"
"26";1218;"kujawsko-pomorskie";"25-50";1995;"Średnie ogólne";"główny agronom";41;"Acme";9;"26-30";"promoters"
