"RecordNo";"Q5";"Q6";"Index1";"Index2";"Index3";"Index4";"Index5";"Index6";"Index7";"Index8";"Index9";"Index10";"Index11";"Index12";"Index13";"Index14";"Index15";"Index16";"Index17";"Index18";"Index19";"Index20"
1135;104;104;;;;;;;;;;;;;;;;;;;;
1136;103;104;;;;;;;;;;;;;;;;;;;;
1137;103;103;;;;;;;;;;;;;;;;;;;;
1141;104;103;;;;;;;;;;;;;;;;;;;;
1143;104;102;;;;;;;;;;;;;;;;;;;;
1145;102;104;;;;;;;;;;;;;;;;;;;;
1150;103;101;;;;;;;;;;;;;;;;;;;;
1151;104;101;;;;;;;;;;;;;;;;;;;;
1154;103;103;;;;;;;;;;;;;;;;;;;;
1159;104;102;;;;;;;;;;;;;;;;;;;;
1160;102;104;;;;;;;;;;;;;;;;;;;;
1167;103;102;;;;;;;;;;;;;;;;;;;;
1168;104;103;;;;;;;;;;;;;;;;;;;;
1169;103;104;;;;;;;;;;;;;;;;;;;;
1173;103;103;;;;;;;;;;;;;;;;;;;;
1174;104;102;;;;;;;;;;;;;;;;;;;;
1176;103;102;;;;;;;;;;;;;;;;;;;;
1177;104;104;;;;;;;;;;;;;;;;;;;;
1178;104;104;;;;;;;;;;;;;;;;;;;;
1183;102;104;;;;;;;;;;;;;;;;;;;;
1187;103;104;;;;;;;;;;;;;;;;;;;;
1191;102;101;;;;;;;;;;;;;;;;;;;;
1200;103;104;;;;;;;;;;;;;;;;;;;;
1202;104;102;;;;;;;;;;;;;;;;;;;;
1203;103;103;;;;;;;;;;;;;;;;;;;;
1218;104;102;;;;;;;;;;;;;;;;;;;;
1221;103;103;;;;;;;;;;;;;;;;;;;;
1223;103;104;;;;;;;;;;;;;;;;;;;;
1230;104;103;;;;;;;;;;;;;;;;;;;;
1233;103;104;;;;;;;;;;;;;;;;;;;;
1234;102;102;;;;;;;;;;;;;;;;;;;;
1236;104;104;;;;;;;;;;;;;;;;;;;;
1241;104;104;;;;;;;;;;;;;;;;;;;;
1242;103;104;;;;;;;;;;;;;;;;;;;;
1251;104;103;;;;;;;;;;;;;;;;;;;;
1253;103;102;;;;;;;;;;;;;;;;;;;;
1256;104;101;;;;;;;;;;;;;;;;;;;;
1261;103;104;;;;;;;;;;;;;;;;;;;;
1271;104;105;;;;;;;;;;;;;;;;;;;;
1272;102;103;;;;;;;;;;;;;;;;;;;;
1279;104;104;;;;;;;;;;;;;;;;;;;;
1280;104;103;;;;;;;;;;;;;;;;;;;;
1282;104;104;;;;;;;;;;;;;;;;;;;;
1286;104;102;;;;;;;;;;;;;;;;;;;;
1287;103;105;;;;;;;;;;;;;;;;;;;;
1288;103;104;;;;;;;;;;;;;;;;;;;;
1291;104;104;;;;;;;;;;;;;;;;;;;;
1292;103;104;;;;;;;;;;;;;;;;;;;;
1293;104;101;;;;;;;;;;;;;;;;;;;;
1294;104;102;;;;;;;;;;;;;;;;;;;;
1295;104;104;;;;;;;;;;;;;;;;;;;;
1301;104;104;;;;;;;;;;;;;;;;;;;;
1304;104;104;;;;;;;;;;;;;;;;;;;;
1311;103;104;;;;;;;;;;;;;;;;;;;;
1316;104;104;;;;;;;;;;;;;;;;;;;;
1319;104;103;;;;;;;;;;;;;;;;;;;;
1322;103;104;;;;;;;;;;;;;;;;;;;;
1323;104;104;;;;;;;;;;;;;;;;;;;;
1327;104;102;;;;;;;;;;;;;;;;;;;;
1329;102;104;;;;;;;;;;;;;;;;;;;;
1336;104;104;;;;;;;;;;;;;;;;;;;;
1339;104;102;;;;;;;;;;;;;;;;;;;;
1342;104;104;;;;;;;;;;;;;;;;;;;;
1344;104;102;;;;;;;;;;;;;;;;;;;;
1356;104;101;;;;;;;;;;;;;;;;;;;;
1357;104;101;;;;;;;;;;;;;;;;;;;;
1358;103;101;;;;;;;;;;;;;;;;;;;;
1360;104;104;;;;;;;;;;;;;;;;;;;;
1364;104;104;;;;;;;;;;;;;;;;;;;;
1368;103;105;;;;;;;;;;;;;;;;;;;;
1371;104;105;;;;;;;;;;;;;;;;;;;;
1375;104;101;;;;;;;;;;;;;;;;;;;;
1377;104;101;;;;;;;;;;;;;;;;;;;;
1382;104;105;;;;;;;;;;;;;;;;;;;;
1387;104;104;;;;;;;;;;;;;;;;;;;;
1388;104;105;;;;;;;;;;;;;;;;;;;;
